filename,img_similarity,brisque_score
Azerbaijani_Asian_Food_11.png,0.98,21.22
Azerbaijani_Asian_Food_21.png,0.98,21.21
Azerbaijani_Asian_Food_3.png,0.97,12.58
Azerbaijani_Asian_Food_26.png,0.91,21.23
Azerbaijani_Asian_Food_13.png,0.89,6.33
Azerbaijani_Asian_Food_17.png,0.9,25.96
Azerbaijani_Asian_Food_23.png,0.94,10.72
Azerbaijani_Asian_Food_5.png,0.97,25.35
Azerbaijani_Asian_Food_12.png,0.82,15.36
Azerbaijani_Asian_Food_4.png,0.92,18.48
Azerbaijani_Asian_Food_25.png,0.85,7.48
Azerbaijani_Asian_Food_7.png,0.89,-3.63
Azerbaijani_Asian_Food_2.png,0.85,26.49
Azerbaijani_Asian_Food_15.png,0.92,19.4
Azerbaijani_Asian_Food_30.png,0.95,25.11
Azerbaijani_Asian_Food_0.png,0.89,13.28
